cityname,costtocomplete,low_poverty,moderatelow_poverty,moderate_poverty,moderatehigh_poverty,high_poverty,highest_poverty,unknown_poverty,total_projects,avg_household_salary,corr_salary_highestpoverty
Healdsburg,0,0,0,0,0,0,0,0,0,58176,
Hercules,16210.6,0,6,0,0,0,0,3,9,100267,
Hillsborough,0,0,0,0,0,0,0,0,0,250001,
Lafayette,0,0,0,0,0,0,0,0,0,138073,
Larkspur,0,0,0,0,0,0,0,0,0,82568,
Livermore,38009.6,26,11,11,0,2,0,0,50,99683,
Los Altos,233.25,1,0,0,0,0,0,0,1,157500,
Los Altos Hills,0,0,0,0,0,0,0,0,0,224271,
Los Gatos,0,0,0,0,0,0,0,0,0,122860,
Martinez,21526.75,7,9,5,0,0,0,0,21,85736,
Menlo Park,31500,0,0,0,0,0,29,0,29,115650,
Mill Valley,0,0,0,0,0,0,0,0,0,132192,
Millbrae,0,0,0,0,0,0,0,0,0,91846,
Milpitas,4966.76,1,5,0,0,0,0,0,6,99072,
Monte Sereno,0,0,0,0,0,0,0,0,0,187115,
Moraga,0,0,0,0,0,0,0,0,0,132651,
Morgan Hill,2069.59,0,1,0,0,3,0,0,4,96232,
Mountain View,3488.46,0,1,1,1,0,2,0,5,100028,
Napa,10790.23,5,0,3,0,1,0,0,9,64058,
Newark,7330.28,1,0,0,8,0,0,0,9,86251,
Novato,5267.12,1,2,1,2,0,0,0,6,76609,
Oakland,31096.3,0,1,2,7,15,25,0,50,52962,
Oakley,44467.36,0,10,35,5,0,0,0,50,78597,
Orinda,127.2,1,0,0,0,0,0,0,1,166866,
Pacifica,3554.33,1,0,0,0,0,0,1,2,96875,
Palo Alto,0,0,0,0,0,0,0,0,0,126771,
Petaluma,1135.49,0,0,1,0,1,0,0,2,80590,
Piedmont,1305.48,1,0,0,0,0,0,0,1,212222,
Pinole,9483.55,0,2,3,7,0,0,0,12,74379,
Pittsburg,15808.61,0,0,0,1,15,0,0,16,60376,
